Level,Date and Time,Source,Event ID,Task Category
Information,16/01/2023 20:11:57,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFF00001320000001). Process Id 0x37E8 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,16/01/2023 20:11:57,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,16/01/2023 20:09:41,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFF00001320000001). Status: 0x0. Process Id 0x37E8 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,16/01/2023 20:09:41,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000320000001). Process Id 0x37E8 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,16/01/2023 20:09:41,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000320000001). Status: 0x0. Process Id 0x37E8 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,16/01/2023 20:09:41,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000620000004). Process Id 0x37E8 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,16/01/2023 20:09:34,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000620000004). Status: 0x0. Process Id 0x37E8 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,16/01/2023 20:09:34,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,"Removed URL (http://*:2869/upnp/eventing/) from URL group (0xFE00000620000003). Process Id 0x37E8 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,16/01/2023 20:09:29,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://*:2869/upnp/eventing/) to URL group (0xFE00000620000003). Status: 0x0. Process Id 0x37E8 Executable path \Device\HarddiskVolume3\Windows\System32\svchost.exe, User LOCAL SERVICE"
Information,16/01/2023 20:09:25,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
